|     | cinsiyetiniz   |   yaşınız | medenidurum   | mezuniyet   | yaşadığınyer   | bölge       | mesleğiseçmenedeni      | meslekideneyimsüresi   | bakışaçısı      | yurtdışındabulundunuzmu   | bakımverdinizmi   | bakımvermekistermisiniz   | yabancıdilbiliyormusunuz   | kültürkonusundaeğitimaldınızmı   | yurtdışındaçalışmakistermisiniz   | sempozyumkongrekatıldınızmı   | zeka1                  | zeka2                   | zeka3                  | zeka4                   | zeka5                   | zeka6                   | zeka7                  | zeka8                  | zeka9                  | zeka10                 | zeka11                  | zeka12                 | zeka13                 | zeka14                  | zeka15                 | zeka16                  | zeka17                  | zeka18                  | zeka19                 | zeka20                 | duyarlılık1             | duyarlılık2             | duyarlılık3            | duyarlılık4             | duyarlılık5            | duyarlılık6            | duyarlılık7             | duyarlılık8            | duyarlılık9             | duyarlılık10           | duyarlılık11           | duyarlılık12            | duyarlılık13           | duyarlılık14           | duyarlılık15            | duyarlılık16           | duyarlılık17           | duyarlılık18            | duyarlılık19            | duyarlılık20            | duyarlılık21           | duyarlılık22            | duyarlılık23           | duyarlılık24           |
|----:|:---------------|----------:|:--------------|:------------|:---------------|:------------|:------------------------|:-----------------------|:----------------|:--------------------------|:------------------|:--------------------------|:---------------------------|:---------------------------------|:----------------------------------|:------------------------------|:-----------------------|:------------------------|:-----------------------|:------------------------|:------------------------|:------------------------|:-----------------------|:-----------------------|:-----------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:-----------------------|:------------------------|:------------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:------------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|:------------------------|:------------------------|:------------------------|:-----------------------|:------------------------|:-----------------------|:-----------------------|
|   0 | erkek          |        33 | bekar         | önlisans    | il             | karadeniz   | ailemin isteği          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | evet                             | evet                              | hayır                         | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum  | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum |
|   1 | kadın          |        23 | bekar         | ortaöğretim | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | karasızım               | katılıyorum             | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | kararsızım              | kesinlikle katılıyorum | kararsızım              | kararsızım             | kesinlikle katılıyorum | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             |
|   2 | erkek          |        26 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | evet                             | evet                              | hayır                         | katılıyorum            | katılıyorum             | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | katılıyorum            | katılıyorum             | karasızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kesinlikle katılıyorum | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|   3 | kadın          |        23 | bekar         | lisans      | ilçe           | içanadolu   | ailemin isteği          | 0-2 yıl                | değişmedi       | evet                      | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | katılmıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum             | katılmıyorum           | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum           |
|   4 | kadın          |        41 | bekar         | lisans      | il             | içanadolu   | ailemin isteği          | 11 yıl ve üzeri        | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum            | katılıyorum             | kararsızım             | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | kararsızım              | kararsızım             | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|   5 | kadın          |        25 | evli          | lisans      | il             | karadeniz   | ailemin isteği          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | katılıyorum             | kararsızım             | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | kesinlikle katılıyorum  | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|   6 | kadın          |        26 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | kararsızım             | kararsızım             | katılmıyorum            | katılıyorum            | karasızım               | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|   7 | kadın          |        26 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım             | kararsızım              | karasızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | kararsızım             | kararsızım             |
|   8 | erkek          |        50 | evli          | önlisans    | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | evet                      | evet              | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılmıyorum           | katılmıyorum            | katılmıyorum           | kesinlikle katılmıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum  | katılmıyorum            | katılmıyorum           | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum |
